algorithm,graph_family,graph_size,graph_parameters,heap_type,row_count,mean_comparison_count,mean_cut_count,mean_decrease_key_per_extract,mean_edge_scan_per_extract,mean_link_count,mean_meld_count,mean_peak_heap_size,mean_successful_decrease_key_rate,mean_successful_relax_rate,mean_swap_count
dijkstra,superdense_er_np,25,"n=25,p=0.65",binary,30,242.46666666666667,0.0,1.4133333333333336,16.471999999999994,0.0,0.0,21.666666666666668,1.0,0.2882344807422419,96.2
dijkstra,superdense_er_np,25,"n=25,p=0.65",fibonacci,30,279.3666666666667,13.066666666666666,1.4133333333333336,16.471999999999994,63.833333333333336,0.0,21.666666666666668,1.0,0.2882344807422419,0.0
dijkstra,superdense_er_np,25,"n=25,p=0.65",pairing,30,199.43333333333334,35.166666666666664,1.4133333333333336,16.471999999999994,164.1,164.1,21.666666666666668,1.0,0.2882344807422419,0.0
dijkstra,superdense_er_np,50,"n=50,p=0.5",binary,30,637.6,0.0,1.7273333333333334,25.628000000000004,0.0,0.0,44.43333333333333,1.0,0.21133919007923624,257.06666666666666
dijkstra,superdense_er_np,50,"n=50,p=0.5",fibonacci,30,757.4666666666667,34.2,1.7273333333333334,25.628000000000004,187.06666666666666,0.0,44.43333333333333,1.0,0.21133919007923624,0.0
dijkstra,superdense_er_np,50,"n=50,p=0.5",pairing,30,553.4666666666667,86.33333333333333,1.7273333333333334,25.628000000000004,467.1,467.1,44.43333333333333,1.0,0.21133919007923624,0.0
prim,dense_er_np,100,"n=100,p=0.18",binary,10,1717.3,0.0,2.07,19.56,0.0,0.0,83.4,1.0,,831.2
prim,dense_er_np,100,"n=100,p=0.18",fibonacci,10,1650.2,127.4,2.07,19.56,364.0,0.0,83.4,1.0,,0.0
prim,dense_er_np,100,"n=100,p=0.18",pairing,10,1070.5,206.2,2.07,19.56,863.5,863.5,83.4,1.0,,0.0
prim,dense_er_np,25,"n=25,p=0.35",binary,10,252.7,0.0,1.488,9.752,0.0,0.0,18.9,1.0,,114.3
prim,dense_er_np,25,"n=25,p=0.35",fibonacci,10,256.2,19.5,1.488,9.752,51.2,0.0,18.9,1.0,,0.0
prim,dense_er_np,25,"n=25,p=0.35",pairing,10,163.9,36.3,1.488,9.752,126.7,126.7,18.9,1.0,,0.0
prim,dense_er_np,50,"n=50,p=0.25",binary,10,676.2,0.0,1.7879999999999998,13.908000000000001,0.0,0.0,40.1,1.0,,312.1
prim,dense_er_np,50,"n=50,p=0.25",fibonacci,10,680.8,52.2,1.7879999999999998,13.908000000000001,146.2,0.0,40.1,1.0,,0.0
prim,dense_er_np,50,"n=50,p=0.25",pairing,10,446.3,88.1,1.7879999999999998,13.908000000000001,356.9,356.9,40.1,1.0,,0.0
prim,grid_2d,100,"rows=10,cols=10",binary,10,931.7,0.0,0.562,3.6000000000000005,0.0,0.0,25.7,1.0,,505.6
prim,grid_2d,100,"rows=10,cols=10",fibonacci,10,698.3,34.5,0.562,3.6000000000000005,154.6,0.0,25.7,1.0,,0.0
prim,grid_2d,100,"rows=10,cols=10",pairing,10,400.9,52.6,0.562,3.6000000000000005,344.7,344.7,25.7,1.0,,0.0
prim,grid_2d,25,"rows=5,cols=5",binary,10,126.0,0.0,0.44000000000000006,3.1999999999999997,0.0,0.0,8.9,1.0,,64.3
prim,grid_2d,25,"rows=5,cols=5",fibonacci,10,112.7,6.1,0.44000000000000006,3.1999999999999997,21.7,0.0,8.9,1.0,,0.0
prim,grid_2d,25,"rows=5,cols=5",pairing,10,69.2,9.3,0.44000000000000006,3.1999999999999997,58.2,58.2,8.9,1.0,,0.0
prim,grid_2d,64,"rows=8,cols=8",binary,10,491.5,0.0,0.509375,3.5,0.0,0.0,17.0,1.0,,260.6
prim,grid_2d,64,"rows=8,cols=8",fibonacci,10,393.9,19.6,0.509375,3.5,85.2,0.0,17.0,1.0,,0.0
prim,grid_2d,64,"rows=8,cols=8",pairing,10,232.3,30.0,0.509375,3.5,199.7,199.7,17.0,1.0,,0.0
prim,medium_er_np,100,"n=100,p=0.08",binary,10,1489.1,0.0,1.429,9.686,0.0,0.0,69.2,1.0,,741.8
prim,medium_er_np,100,"n=100,p=0.08",fibonacci,10,1369.3,90.4,1.429,9.686,324.3,0.0,69.2,1.0,,0.0
prim,medium_er_np,100,"n=100,p=0.08",pairing,10,891.8,141.7,1.429,9.686,748.9,748.9,69.2,1.0,,0.0
prim,medium_er_np,25,"n=25,p=0.2",binary,10,218.8,0.0,1.116,6.552,0.0,0.0,16.4,1.0,,103.0
prim,medium_er_np,25,"n=25,p=0.2",fibonacci,10,218.5,16.5,1.116,6.552,45.6,0.0,16.4,1.0,,0.0
prim,medium_er_np,25,"n=25,p=0.2",pairing,10,134.9,26.5,1.116,6.552,107.0,107.0,16.4,1.0,,0.0
prim,medium_er_np,50,"n=50,p=0.12",binary,10,593.6,0.0,1.3459999999999999,7.9239999999999995,0.0,0.0,34.2,1.0,,281.7
prim,medium_er_np,50,"n=50,p=0.12",fibonacci,10,577.2,38.6,1.3459999999999999,7.9239999999999995,129.9,0.0,34.2,1.0,,0.0
prim,medium_er_np,50,"n=50,p=0.12",pairing,10,374.7,66.0,1.3459999999999999,7.9239999999999995,307.4,307.4,34.2,1.0,,0.0
prim,sparse_er_nm,100,"n=100,m=300",binary,10,1328.9,0.0,1.022,6.0,0.0,0.0,56.2,1.0,,681.8
prim,sparse_er_nm,100,"n=100,m=300",fibonacci,10,1172.7,72.0,1.022,6.0,286.7,0.0,56.2,1.0,,0.0
prim,sparse_er_nm,100,"n=100,m=300",pairing,10,720.7,101.2,1.022,6.0,618.5,618.5,56.2,1.0,,0.0
prim,sparse_er_nm,25,"n=25,m=75",binary,10,203.7,0.0,0.976,6.0,0.0,0.0,15.5,1.0,,94.3
prim,sparse_er_nm,25,"n=25,m=75",fibonacci,10,209.7,13.0,0.976,6.0,46.2,0.0,15.5,1.0,,0.0
prim,sparse_er_nm,25,"n=25,m=75",pairing,10,130.1,23.2,0.976,6.0,105.7,105.7,15.5,1.0,,0.0
prim,sparse_er_nm,50,"n=50,m=150",binary,10,539.5,0.0,1.012,6.0,0.0,0.0,30.8,1.0,,269.1
prim,sparse_er_nm,50,"n=50,m=150",fibonacci,10,501.4,32.9,1.012,6.0,117.2,0.0,30.8,1.0,,0.0
prim,sparse_er_nm,50,"n=50,m=150",pairing,10,310.8,49.3,1.012,6.0,260.2,260.2,30.8,1.0,,0.0
prim,superdense_er_np,100,"n=100,p=0.35",binary,10,1906.3,0.0,2.693,36.186,0.0,0.0,91.0,1.0,,886.3
prim,superdense_er_np,100,"n=100,p=0.35",fibonacci,10,1896.4,156.2,2.693,36.186,396.3,0.0,91.0,1.0,,0.0
prim,superdense_er_np,100,"n=100,p=0.35",pairing,10,1286.6,268.3,2.693,36.186,1017.3,1017.3,91.0,1.0,,0.0
prim,superdense_er_np,25,"n=25,p=0.65",binary,10,290.7,0.0,2.0,16.471999999999998,0.0,0.0,21.8,1.0,,124.9
prim,superdense_er_np,25,"n=25,p=0.65",fibonacci,10,315.2,25.9,2.0,16.471999999999998,61.0,0.0,21.8,1.0,,0.0
prim,superdense_er_np,25,"n=25,p=0.65",pairing,10,202.7,48.8,2.0,16.471999999999998,152.7,152.7,21.8,1.0,,0.0
prim,superdense_er_np,50,"n=50,p=0.5",binary,10,753.1,0.0,2.33,25.627999999999997,0.0,0.0,44.4,1.0,,332.8
prim,superdense_er_np,50,"n=50,p=0.5",fibonacci,10,790.0,62.1,2.33,25.627999999999997,160.7,0.0,44.4,1.0,,0.0
prim,superdense_er_np,50,"n=50,p=0.5",pairing,10,521.5,115.3,2.33,25.627999999999997,405.0,405.0,44.4,1.0,,0.0
